AGI,logFC,logCPM,LR,PValue,FDR,symbol2,full_name
AT5G44585,-1.2377877553000813,5.162374342506485,15.791872008240546,7.070560207737143e-5,8.142048118587509e-4,NA,NA
AT4G09990,0.9083808654391597,4.610796016763581,15.786359195298218,7.091192224721242e-5,8.163009288629091e-4,GXM2,glucuronoxylan methyltransferase 2
AT5G54700,1.317360286997049,2.61367894960467,15.78305024124723,7.103605247400628e-5,8.173559318300495e-4,NA,NA
AT1G67700,-0.8028188222516707,2.898047162139185,15.782619705281318,7.10522194177601e-5,8.173559318300495e-4,HHL1,HYPERSENSITIVE TO HIGH LIGHT 1
AT4G14100,-1.0561059349169095,1.625524207837354,15.779610872121886,7.116530669002909e-5,8.183766719364673e-4,NA,NA
AT4G28790,-1.4388203924779974,1.9953962535159924,15.75627208359884,7.204866865116331e-5,8.282515785208312e-4,NA,NA
AT4G21410,-0.5522884830788442,6.928788205128611,15.75463133763445,7.211118349145848e-5,8.286867262927455e-4,CRK29,cysteine-rich RLK (RECEPTOR-like protein kinase) 29
AT5G03490,0.7015624649405365,2.7849193104430734,15.747595245775734,7.237988827678906e-5,8.314902584193729e-4,UGT89A2,UDP glycosyltransferase 89A2
AT1G49170,-0.8232485096937846,2.8705220587183398,15.74456769769178,7.249581852560433e-5,8.325374210859046e-4,NA,NA
AT1G72860,0.8586142012410041,3.15807704883683,15.742963760572549,7.255731182812794e-5,8.329589313456628e-4,NA,NA
AT5G22140,0.4420415225553671,5.350651306566037,15.74153764860063,7.261203156280002e-5,8.333024195946743e-4,NA,NA
AT3G62690,0.7466191785365687,3.358222057160182,15.738555011029142,7.272660922577926e-5,8.343323739175946e-4,ATL5,AtL5
AT4G18360,0.6770654946313162,5.316670677833407,15.728040147028578,7.313198916821765e-5,8.386629281536345e-4,GOX3,glycolate oxidase 3
AT1G17170,2.9928285650835185,3.5316431991415,15.727470645655426,7.315400995233328e-5,8.386629281536345e-4,ATGSTU24;GST;GSTU24,glutathione S-transferase TAU 24;Arabidopsis thaliana Glutathione S-transferase (class tau) 24;glutathione S-transferase TAU 24
AT3G07670,-0.8185517038771846,2.33247004532633,15.711119436507074,7.37891115963443e-5,8.456554324216784e-4,NA,NA
AT2G45850,-1.9286793085002494,-0.14039589418747056,15.709492454572267,7.385260825880747e-5,8.460945593973572e-4,AHL9,AT-hook motif nuclear localized protein 9
AT4G21250,-1.467529818026967,5.547845698098516,15.70518976021961,7.402079568945859e-5,8.47732371082886e-4,NA,NA
AT1G70500,-0.6990582911489746,2.8954597533595177,15.704435168499515,7.40503315093203e-5,8.477816829220377e-4,NA,NA
AT4G20260,0.7781248894912322,9.036591749552061,15.696653791771723,7.435559829067913e-5,8.50986653189169e-4,ATPCAP1;MDP25;PCAP1,ARABIDOPSIS THALIANA PLASMA-MEMBRANE ASSOCIATED CATION-BINDING PROTEIN 1;microtubule-destabilizing protein 25;plasma-membrane associated cation-binding protein 1
AT2G07042,-1.7454836201219897,1.0215425852477586,15.69241729249414,7.452232991076089e-5,8.526044704328864e-4,NA,NA
AT1G22640,0.6083636491125001,4.145590523847742,15.690831635310385,7.458483170241773e-5,8.530020899779155e-4,ATMYB3;MYB3,ARABIDOPSIS THALIANA  MYB DOMAIN PROTEIN 3;myb domain protein 3
AT2G36930,-0.5554266988389978,5.7623986770310776,15.690247876957118,7.460785496235621e-5,8.530020899779155e-4,NA,NA
AT1G64440,0.5583889065000147,5.941328649585064,15.67773028841637,7.510326901753278e-5,8.583741651452845e-4,REB1;RHD1;UGE4,ROOT EPIDERMAL BULGER1;ROOT HAIR DEFECTIVE 1;UDP-GLUCOSE 4-EPIMERASE
AT5G44400,-0.9573663062282883,5.891666156504419,15.67673654362784,7.514274039119152e-5,8.585332752889552e-4,AtBBE26,"NA"
AT5G64020,0.45027908561411656,5.034247124746593,15.66277208911997,7.56996183605551e-5,8.646018273798003e-4,TBL14,TRICHOME BIREFRINGENCE-LIKE 14
AT4G20240,-1.0142320609444255,5.802737654314233,15.65282539381559,7.609880522418418e-5,8.688658012718439e-4,CYP71A27,"cytochrome P450, family 71, subfamily A, polypeptide 27"
AT3G16440,0.5605762360984929,6.516569631613286,15.645753067548897,7.638392367561586e-5,8.718249332024606e-4,ATMLP-300B;MEE36;MLP-300B,myrosinase-binding protein-like protein-300B;maternal effect embryo arrest 36;myrosinase-binding protein-like protein-300B
AT4G26080,0.6020854464798818,6.139188574598414,15.643533035926271,7.647364493235876e-5,8.725526034013987e-4,ABI1;AtABI1,ABA INSENSITIVE 1;NA
AT3G50630,0.6588251143542692,3.9399539846023814,15.642314132499367,7.65229512663172e-5,8.728188080281028e-4,ICK2;KRP2,NA;KIP-related protein 2
AT3G07490,1.1624275575536802,2.6150425914735522,15.64113086032204,7.657084685922038e-5,8.730687465773747e-4,AGD11;AtCML3;CML3,ARF-GAP domain 11;NA;calmodulin-like 3
AT1G53345,-0.5750807700774598,3.55370940099313,15.635553285748355,7.679701812227971e-5,8.753505437397703e-4,NA,NA
AT1G44160,0.7756283207823346,4.828898899700415,15.63183648050855,7.69481080161588e-5,8.767752884228443e-4,NA,NA
AT1G19630,5.67198583844109,-2.9769770687672548,15.623649780723554,7.728195683263989e-5,8.800023965882332e-4,CYP722A1,"cytochrome P450, family 722, subfamily A, polypeptide 1"
AT3G05770,-4.507210724968426,-1.1186444778796567,15.62360699323662,7.72837055035973e-5,8.800023965882332e-4,NA,NA
AT3G09220,1.6143309517239397,6.824733866036873,15.614368915454747,7.766218776934718e-5,8.840124774476978e-4,LAC7,laccase 7
AT3G16630,0.43390953101565505,7.1385741058929515,15.604702680171062,7.806020812627352e-5,8.882421650724832e-4,ATKINESIN-13A;KINESIN-13A,NA;NA
AT1G70480,0.557824697012917,4.22327872059244,15.60304921569716,7.812849702253273e-5,8.88718265724829e-4,JASSY,"NA"
AT4G14930,-0.6627086949075868,3.5346683664241825,15.60227381083383,7.816054232291803e-5,8.88781909690251e-4,NA,NA
AT5G60200,-0.6067197614729691,5.1013063971171935,15.596474985281628,7.840061104536919e-5,8.912101936219539e-4,DOF5.3;TMO6,DNA binding with one finger 5.3;TARGET OF MONOPTEROS 6
AT5G51770,0.64044609791728,4.133418569140133,15.594503444180337,7.848240081136026e-5,8.91838225249688e-4,NA,NA
AT5G52540,-0.3984978916826077,6.195564652850042,15.592512699364818,7.856507434684844e-5,8.92475871603381e-4,NA,NA
AT1G19050,-1.258832854518679,4.921773704758538,15.591233132633125,7.861825965577358e-5,8.92778222694594e-4,ARR7,response regulator 7
AT1G22780,-0.4635476113776085,7.822278665757847,15.588374259165448,7.873721990332026e-5,8.93827048375462e-4,PFL;PFL1;RPS18A,POINTED FIRST LEAVES;POINTED FIRST LEAVES 1;40S RIBOSOMAL PROTEIN S18
AT1G18270,-0.7353393695906131,7.731896253288571,15.571695689233422,7.943484884430057e-5,9.01442009748797e-4,NA,NA
AT5G14150,0.5677709000758685,4.196090755260892,15.567741536917433,7.960115247087452e-5,9.030242826895091e-4,AthD-1,"NA"
AT2G33430,-0.528692342324768,4.5590468437892495,15.565153363819057,7.971019541002725e-5,9.03830309601162e-4,DAL;DAL1;MORF2,DIFFERENTIATION AND GREENING-LIKE;differentiation and greening-like 1;multiple organellar RNA editing factor 2
AT3G57530,0.49595383597537135,6.1822312531203085,15.564778541936626,7.972599957317553e-5,9.03830309601162e-4,ATCPK32;CDPK32;CPK32,NA;NA;calcium-dependent protein kinase 32
AT4G15130,0.7211367231748124,3.8528939726115556,15.563309266149316,7.978798120176713e-5,9.042279070292678e-4,ATCCT2;CCT2,NA;phosphorylcholine cytidylyltransferase2
AT2G21130,-1.037539631639455,2.0912772683590872,15.557138953077988,8.004880655513719e-5,9.068779493815643e-4,NA,NA
AT2G39705,0.729206611078958,3.3450684644090742,15.551393403344612,8.029244794903512e-5,9.09331592849167e-4,DVL11;RTFL8,DEVIL 11;ROTUNDIFOLIA like 8
AT5G40160,-0.6829273363052913,2.9477367657470595,15.548902387883384,8.039831176563178e-5,9.099559910429077e-4,EMB139;EMB506,EMBRYO DEFECTIVE 139;embryo defective 506
AT3G15370,-2.16556341964215,1.9983386483651475,15.54882172647763,8.040174208101878e-5,9.099559910429077e-4,ATEXP12;ATEXPA12;ATHEXP ALPHA 1.24;EXP12;EXPA12,NA;expansin 12;NA;EXPANSIN 12;expansin 12
AT5G52680,-3.9946303965118517,1.2969643081334206,15.546025103896728,8.052076611203889e-5,9.109962231975524e-4,NA,NA
AT5G52820,-0.5319452755511631,5.793627147130035,15.539773400765718,8.078747955732596e-5,9.137061218731965e-4,AtNLE;NLE,NA;NOTCHLESS
AT1G71730,-0.5709021331108661,5.2127133672970585,15.538683854310449,8.083405322852564e-5,9.139252545709686e-4,NA,NA
AT1G01600,1.9321127397840832,2.414605877887435,15.533584948224252,8.105236995361118e-5,9.160853465123589e-4,CYP86A4,"cytochrome P450, family 86, subfamily A, polypeptide 4"
AT5G43440,-1.4008359986300571,1.4813312195850448,15.531623141499402,8.113652536662911e-5,9.167281524443413e-4,NA,NA
AT2G23550,1.2480388648143061,2.131134476514556,15.525022582115563,8.142031484598356e-5,9.196253510772234e-4,ABE1;ATMES6;MES6,ALPHA/BETA FOLD HYDROLASE/ESTERASE 1;METHYL ESTERASE 6;methyl esterase 6
AT5G13820,0.8899058854745114,4.736467769292762,15.521203449381236,8.158497340926294e-5,9.2088681752619e-4,ATBP-1;ATBP1;ATTBP1;HPPBF-1;TBP1,NA;NA;NA;H-PROTEIN PROMOTE;telomeric DNA binding protein 1
AT4G25190,-0.858214589581477,2.700348314526581,15.520595828289132,8.161120133405471e-5,9.2088681752619e-4,QWRF7,QWRF domain containing 7
AT5G64640,0.6899523757759788,2.5854590835561893,15.520525961266598,8.161421768326271e-5,9.2088681752619e-4,NA,NA
AT5G65200,0.6267801633542068,4.387603591927054,15.519264675376736,8.166869011574545e-5,9.211921199292645e-4,ATPUB38;PUB38,ARABIDOPSIS THALIANA PLANT U-BOX 38;plant U-box 38
AT2G47550,-1.0358540749793328,5.5903497706648135,15.516469246035669,8.178954956679864e-5,9.222457867595867e-4,NA,NA
AT1G05590,0.5299262414287019,4.167400007730722,15.507960584510831,8.215852725962658e-5,9.259260677651373e-4,ATHEX3;HEXO2,BETA-HEXOSAMINIDASE 3;beta-hexosaminidase 2
AT5G40960,0.8005771171428724,2.689880280918063,15.507672544141453,8.217104738038329e-5,9.259260677651373e-4,NA,NA
AT2G38610,0.49031085614418385,4.868001143713159,15.504244950130571,8.232018047485163e-5,9.272955763714262e-4,NA,NA
AT1G73910,-2.0738329268167557,-0.15446855890035005,15.503291313941391,8.236172116308965e-5,9.274525987004484e-4,ARP4A;ATARP4A,actin-related proteins 4A;actin-related proteins 4A
AT4G03935,-0.7566702800691848,2.3611239926463012,15.502141425434372,8.241183871146732e-5,9.277060651198409e-4,NA,NA
AT3G55740,1.3590244640521039,3.9398642168752747,15.501015437048281,8.246094431302962e-5,9.279479741481652e-4,ATPROT2;PROT2,PROLINE TRANSPORTER 2;proline transporter 2
AT3G03440,0.7759941658411342,3.075839104360594,15.4990800154435,8.254541899273621e-5,9.285876026092809e-4,NA,NA
AT4G30560,0.7190152613951898,4.891073919498922,15.491268643132056,8.288724502336767e-5,9.321208859689426e-4,ATCNGC9;CNGC9,cyclic nucleotide gated channel 9;cyclic nucleotide gated channel 9
AT1G75310,0.508103119442199,5.608014806771357,15.485530199981099,8.313926667208203e-5,9.346422344313484e-4,AUL1,auxilin-like 1
AT2G48140,1.754104871265279,5.730655529505466,15.484798975298478,8.31714360181322e-5,9.34691168254608e-4,EDA4,embryo sac development arrest 4
AT5G05430,-3.222147294131731,-0.5355697279867685,15.481301639525931,8.332547035416067e-5,9.361091457173209e-4,NA,NA
AT1G67880,0.45810366458001667,4.435401426052928,15.478959216986066,8.342879892264595e-5,9.369567183819349e-4,NA,NA
AT1G76950,0.5065162994563664,5.917610155310158,15.472712379686184,8.37049891837385e-5,9.397444191620385e-4,PRAF1,"NA"
AT5G06270,-0.744070939048727,4.269242274793764,15.450946660945176,8.467451966017494e-5,9.503116932602533e-4,GIR1,"NA"
AT2G38390,0.7441135425136717,8.34048463733865,15.447089795417924,8.484749433120349e-5,9.519350599389314e-4,NA,NA
AT1G23190,0.5044774346299042,7.118787321643628,15.44308318349039,8.502756141806576e-5,9.536368887749819e-4,PGM3,phosphoglucomutase 3
AT5G12040,0.5619939439658144,5.632342422003606,15.439756748200288,8.517735177066097e-5,9.549981228554387e-4,NA,NA
AT4G34590,0.6446923643327519,4.73998538584338,15.431623391580667,8.554471838588865e-5,9.584773681902736e-4,ATB2;AtbZIP11;BZIP11;GBF6,NA;Arabidopsis thaliana basic leucine-zipper 11;NA;G-box binding factor 6
AT4G34588,0.6446923643327519,4.73998538584338,15.431623391580667,8.554471838588865e-5,9.584773681902736e-4,NA,NA
AT5G47140,0.4779821855040581,5.46865662697966,15.416723263508477,8.622186636071434e-5,9.657423844842411e-4,GATA27,GATA transcription factor 27
AT3G58470,-0.5988383180931711,4.1327025367134365,15.4108737842271,8.648917241091995e-5,9.684135859219367e-4,NA,NA
AT1G52565,1.2491162923248145,2.121704964541063,15.409591546078673,8.654787870481263e-5,9.687481080076995e-4,NA,NA
AT4G11240,-0.5828448280541304,6.358259604196717,15.407583385857478,8.663990136370311e-5,9.694552000077096e-4,TOPP7,"NA"
AT1G80730,1.4726823907572117,2.5208038254875382,15.40209249243863,8.689202096568506e-5,9.719526259949898e-4,ATZFP1;ZFP1,ARABIDOPSIS THALIANA ZINC-FINGER PROTEIN 1;zinc-finger protein 1
AT3G26720,-1.0046361120076108,7.2913979164766936,15.381789695162645,8.783067129528865e-5,9.821251969598299e-4,NA,NA
AT5G47500,-1.1313277697457622,3.5244751867353314,15.3810217188354,8.786637638076399e-5,9.821793347012855e-4,PME5,pectin methylesterase 5
AT5G65990,1.0870021286854172,0.9092630325901693,15.380428375251565,8.789397236613194e-5,9.821793347012855e-4,AtAVT3,"NA"
AT3G63280,0.5195553816850426,4.824231329175294,15.375625996264128,8.811764874761381e-5,9.843514738089494e-4,ATNEK4;NEK4,NIMA-related kinase 4;NIMA-related kinase 4
AT4G27440,-3.889782077423124,-1.263105219485829,15.37108369885798,8.832973856760607e-5,9.860841001508734e-4,PORB,protochlorophyllide oxidoreductase B
AT5G18350,1.6068641105504105,2.2069224885910734,15.37104724370719,8.833144281453868e-5,9.860841001508734e-4,NA,NA
AT2G47370,1.2380067154536272,1.5068918715019735,15.363691241545826,8.867600736858494e-5,9.896018597141119e-4,NA,NA
AT5G03860,-3.084087741201052,-0.19804259908803173,15.357398594924918,8.897183610212131e-5,9.925735845629083e-4,MLS,malate synthase
AT1G80330,5.547513258222925,-2.872829723686298,15.353646240450058,8.914871351296178e-5,9.942167512321746e-4,ATGA3OX4;GA3OX4,ARABIDOPSIS THALIANA GIBBERELLIN 3-OXIDASE 4;gibberellin 3-oxidase 4
AT2G35840,0.4940118005630138,4.572482384415744,15.350821260152692,8.928211004580967e-5,9.95374074903549e-4,NA,NA
AT1G31230,-0.656517889993142,6.465410396081608,15.348997822364367,8.936832004038551e-5,9.960047396341738e-4,AK-HSDH;AK-HSDH I,ASPARTATE KINASE-HOMOSERINE DEHYDROGENASE;aspartate kinase-homoserine dehydrogenase i
AT2G24970,-1.2235547829264626,1.2922026385269016,15.347432679067355,8.944238497575943e-5,9.96499675051548e-4,NA,NA
AT4G39070,-1.1461413906099767,1.4929924862699846,15.34468087643456,8.957275420492885e-5,9.976213744759758e-4,BBX20;BZS1;STH7,B-box domain protein 20;BZS1;SALT TOLERANCE HOMOLOG 7
AT4G19760,-4.176365876466691,2.4209599604144554,15.343059011374049,8.964968112044974e-5,9.981473111362995e-4,NA,NA
AT3G03050,0.665436772331022,6.802395891298984,15.340398028582541,8.977603861388599e-5,9.992230703888033e-4,ATCSLD3;CSLD3;KJK;RHD7,CELLULOSE SYNTHASE LIKE D3;cellulose synthase-like D3;KOJAK;ROOT HAIR DEFECTIVE 7
AT1G17530,-0.6814817120511594,4.848124947264099,15.334490128229175,9.005721785011328e-5,0.0010020207398011613,ATTIM23-1;TIM23-1,translocase of inner mitochondrial membrane 23;translocase of inner mitochondrial membrane 23
AT5G56870,-0.6940703796979684,7.607941874913284,15.333590781827183,9.010009877971574e-5,0.001002166010988417,BGAL4,beta-galactosidase 4
AT3G53510,1.5666729972862736,5.202470903967795,15.33288616353829,9.013370940604332e-5,0.001002208108359321,ABCG20,ATP-binding cassette G20
AT4G24610,0.7543890346612118,4.9299485260320886,15.32561812203943,9.0481135508942e-5,0.0010057383775625105,NA,NA
AT1G67810,3.637621172022057,4.2912901098880765,15.309260951403175,9.126797620294604e-5,0.001014148986895302,SUFE2,sulfur E2
AT1G69570,0.9988064578311285,2.265996340646739,15.300474177409178,9.16934916872734e-5,0.0010185403992316565,CDF5,CYCLING DOF FACTOR 5
AT4G17570,0.4573873588581646,5.005917206184086,15.29798012959058,9.18146338052967e-5,0.0010195490168954328,GATA26,GATA transcription factor 26
AT2G43940,0.4299480603768976,5.0374359469578875,15.295755999817242,9.192280117255788e-5,0.0010204129385531185,ATHOL3;HOL3,NA;HARMLESS TO OZONE LAYER 3
AT3G56580,0.36898167840326346,5.404385586185739,15.29283784423975,9.206491600727714e-5,0.0010216530078191964,AtRZF1;BTL02;RZF1,NA;BCA2Â zinc finger ATL 2;RING Zinc Finger 1
AT3G54880,-0.7041400942030652,6.2557471444931645,15.269318938934473,9.321839321647297e-5,0.001033801973240041,NA,NA
AT2G46280,-0.4609031004231119,7.67816988550245,15.269261334158301,9.322123620371777e-5,0.001033801973240041,TIF3I1;TRIP-1;TRIP1,NA;TGF-beta receptor interacting protein 1;NA
AT1G55207,1.9171557330144142,-0.6143791834249557,15.268353848426088,9.326603515767367e-5,0.0010339575431765591,NA,NA
AT2G04430,0.764721810875385,4.3690470105593064,15.267057824233351,9.333005227191235e-5,0.001034262358895145,atnudt5;NUDT5,nudix hydrolase homolog 5;nudix hydrolase homolog 5
AT5G03140,0.6883451659026704,4.6311746850124305,15.266551179445115,9.335509001038553e-5,0.001034262358895145,LecRK-VIII.2,L-type lectin receptor kinase VIII.2
AT2G02810,-0.5275098502204781,4.413397928651647,15.25983003948499,9.368788045345012e-5,0.0010376071717194564,ATUTR1;UTR1,UDP-GALACTOSE TRANSPORTER 1;UDP-galactose transporter 1
AT2G33020,-1.5610635003596065,1.7350801241947877,15.247985275213198,9.42772703624152e-5,0.0010437907211591022,AtRLP24;RLP24,receptor like protein 24;receptor like protein 24
AT5G49665,0.4443789367402207,4.599694359180766,15.240361229385737,9.465861159371668e-5,0.001047608318345036,NA,NA
AT4G21860,-0.616171934968102,4.783964251626018,15.239387848710706,9.470740997162606e-5,0.001047608318345036,MSRB2,methionine sulfoxide reductase B 2
AT4G02600,0.45836508507097545,6.140336465000499,15.239224246970721,9.471561428284686e-5,0.001047608318345036,ATMLO1;MLO1,MILDEW RESISTANCE LOCUS O 1;NA
AT1G10910,-0.5796602191158112,4.007035868333496,15.238257346731087,9.476411706803432e-5,0.0010477998886870975,EMB3103;PDM2,EMBRYO DEFECTIVE 3103;Pentratricopeptide Repeat Protein Pigment-Defective Mutant2
AT2G42880,0.3774347692580429,6.9742615385267035,15.234837006172555,9.493589288207832e-5,0.001049353905468288,ATMPK20;MPK20,MAP kinase 20;MAP kinase 20
AT1G09170,0.8890127360312239,3.7247573316562197,15.231743307492884,9.509153400014849e-5,0.0010507286173867115,NA,NA
AT5G17000,0.9516338540203307,3.4809894284896274,15.229990339551257,9.517983813442104e-5,0.001051358619655758,NA,NA
AT5G10200,-0.4221467023399007,5.350862791413778,15.224037527949843,9.548032185702594e-5,0.001054331178126778,SAV4,Shade Avoidance 4
AT4G24340,-1.7623231043069356,3.943622840152449,15.221615081840618,9.560287426330725e-5,0.0010553376415885843,NA,NA
AT4G17280,1.434703885831559,5.989452376318906,15.220949843497408,9.563655660119637e-5,0.001055362750382069,NA,NA
AT1G56045,-0.6347618806876592,6.678653987661402,15.201288269015834,9.663747170421803e-5,0.0010660578871323487,NA,NA
AT5G23395,-0.5277954763486095,4.261665980305536,15.19228234297688,9.709945151567646e-5,0.001070802681270023,MIA40,mitochondrial intermembrane space assembly machinery  40
AT1G65930,-0.45468003188931744,10.072956270938484,15.180977891373914,9.768248660009113e-5,0.0010765971957749582,cICDH,cytosolic NADP+-dependent isocitrate dehydrogenase
AT2G26310,1.0533462495451966,2.748035852897118,15.18085252098281,9.76889723801514e-5,0.0010765971957749582,AtFAP2;FAP2,NA;fatty-acid-binding protein 2
AT3G44120,-1.3152076044530514,1.3156415822513312,15.176307448784785,9.792439523513095e-5,0.0010788378782593017,NA,NA
AT2G41690,1.6192607646233532,0.4479872457096171,15.17411464180688,9.803818099552347e-5,0.0010797374492991084,AT-HSFB3;HSFB3;HSFB3,heat shock transcription factor B3;HEAT SHOCK TRANSCRIPTION FACTOR  B3;heat shock transcription factor B3
AT1G19620,-5.553512371667313,-1.6361082927735389,15.173351626184303,9.807780542234995e-5,0.0010798199271958727,NA,NA
AT3G15350,0.559358079624336,3.76436095104941,15.169369057567808,9.828488730923911e-5,0.0010817454252751565,NA,NA
AT2G02690,0.8182163657829139,1.6374236639519038,15.168735111947402,9.831789119266456e-5,0.0010817543483483676,NA,NA
AT5G45900,0.49869642459476776,4.832428694550774,15.162184393887113,9.865958228924951e-5,0.0010851585217948813,APG7;ATAPG7;ATATG7;ATG7;PEUP4,AUTOPHAGY 7;NA;NA;AUTOPHAGY-RELATED 7;PEROXISOME UNUSUAL POSITIONING 4
AT4G03470,-1.0507885332410052,1.890620598333318,15.160433512315887,9.875111200129064e-5,0.0010855108707810044,NA,NA
AT4G26990,0.5360767007240425,4.046225283307433,15.159747026756385,9.878702228250631e-5,0.0010855108707810044,NA,NA
AT2G34510,-0.7377598779220809,2.3709113046541916,15.159718176818323,9.878853171978786e-5,0.0010855108707810044,AthB-1,"NA"
AT5G42860,0.5082311833044199,5.9722374856725,15.157728972063097,9.889266349154384e-5,0.0010861584022958605,CC2,companion of cellulose synthase 2
AT2G38110,2.1106428609648535,3.871510738516619,15.157357728795269,9.891210972636549e-5,0.0010861584022958605,ATGPAT6;GPAT6,GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 6;GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 6
AT1G16530,-1.0711538537738277,3.2227108818704893,15.154624645279,9.905539091153726e-5,0.0010873764277717986,ASL9;LBD3,ASYMMETRIC LEAVES 2-like 9;LOB DOMAIN-CONTAINING PROTEIN 3
AT5G47820,0.4150607885244267,6.601940966672746,15.146621203585987,9.947617176634554e-5,0.0010915164472892797,FRA1,FRAGILE FIBER 1
AT2G39570,-0.8298404982209993,7.285896609497336,15.146216504716676,9.949749651946503e-5,0.0010915164472892797,ACR9,ACT domain repeats 9
AT1G35680,-0.5337127520809519,3.9116611653177253,15.14385118233219,9.962222424397258e-5,0.0010925280610463337,ASD;RPL21C,ATPase-in-Seed-Development;chloroplast ribosomal protein L21
AT5G47200,0.43438628431590787,7.700382189367308,15.140950083880114,9.977541927949742e-5,0.0010938511055888,ATRAB1A;ATRABD2B;RAB1A,RAB GTPase homolog 1A;ARABIDOPSIS RAB GTPASE HOMOLOG D2B;RAB GTPase homolog 1A
AT2G40370,2.2414750834861548,4.509584669464953,15.121402082081094,1.0081386771075427e-4,0.0011048752716297343,LAC5,laccase 5
AT3G01330,-0.6196677206533099,3.0793870486051387,15.117465825200426,1.0102428549595245e-4,0.0011068203590593394,DEL3;E2FF;E2L2,DP-E2F-like protein 3;NA;E2F-LIKE 2
AT5G23900,-0.4989889704750532,7.607040204458596,15.110716509269324,1.0138610822445336e-4,0.0011104224278220606,NA,NA
AT1G07640,0.5007358105266889,4.98212100652845,15.109087697849061,1.0147362201741336e-4,0.00111101878365237,OBP2;URP3,NA;UAS-TAGGED ROOT PATTERNING3
AT4G13360,-0.37840829453351993,5.7723756069440295,15.10817220416666,1.0152284359978524e-4,0.001111195632130288,NA,NA
AT1G09932,-1.7401080774264959,4.468280984193485,15.105051933389209,1.0169078575830332e-4,0.0011126713718822886,NA,NA
AT2G33050,0.545921456960882,3.586401376308028,15.091784479062873,1.0240800675953985e-4,0.0011201542458118678,AtRLP26;RLP26,receptor like protein 26;receptor like protein 26
AT5G38110,-0.6054278878876015,4.045200063277169,15.084440630700769,1.0280719209276623e-4,0.001124154659518754,ASF1B;SGA01;SGA1,anti- silencing function 1b;NA;NA
AT5G21170,-0.7338859808812519,5.816325136218717,15.08232283442706,1.0292259856888502e-4,0.0011250504740116052,AKINBETA1;KIN&#946;1,NA;NA
AT2G43550,-0.7229483709105838,3.1184770701682147,15.076749874033446,1.0322691294891604e-4,0.0011280099931412933,NA,NA
AT5G51790,-1.3121399941858862,1.39183281204749,15.07312714692768,1.0342521932340104e-4,0.001129736303664594,NA,NA
AT3G28210,1.2566503634616364,2.16179515524639,15.072635999641424,1.0345213399130873e-4,0.001129736303664594,PMZ;SAP12,NA;STRESS-ASSOCIATED PROTEIN 12
AT1G49430,2.407191910717935,4.810917786647816,15.06823093754872,1.0369384491680102e-4,0.0011320079846960194,LACS2;LRD2,long-chain acyl-CoA synthetase 2;LATERAL ROOT DEVELOPMENT 2
AT1G12640,0.5535243490771641,5.655847510295215,15.062053819233261,1.0403374827956228e-4,0.0011353497920395751,AtLPLAT1;LPCAT1;LPLAT1,NA;lysophosphatidylcholine acyltransferase 1;lysophospholipid acyltransferase 1
AT1G66430,-0.5628159329522764,5.1168094125200385,15.05135794247107,1.0462495576751437e-4,0.0011414310921103955,FRK3;FRK6,Fructokinase 3;Fructokinase 6
AT2G28460,0.7631600964076147,3.0162686237670213,15.04578599418901,1.04934279880015e-4,0.00114443416829869,NA,NA
AT1G76570,-0.9342018190448208,1.6752210282662043,15.041641340686034,1.0516496518913086e-4,0.0011465779235188757,AtLHCB7;LHCB7,NA;light-harvesting complex B7
AT3G26020,0.4781897235948093,5.6291046186145675,15.037181346911375,1.0541377203384392e-4,0.0011489177969124954,PP2AB'ETA,"NA"
AT1G75920,1.191243584981749,0.9562313777501533,15.033278360575087,1.0563199148541542e-4,0.0011509228851792896,NA,NA
AT5G51050,0.7806473522820148,3.9419559100078105,15.021035628060442,1.0631944780957653e-4,0.0011580376289456694,APC2,ATP/phosphate carrier 2
AT1G71720,-0.7668301000184583,2.467535920114611,15.015683332395867,1.066214038613351e-4,0.0011609502308971426,BSF;PBR1;PDE338;RLSB,petB/petD Stabilizing Factor;photosystem biogenesis regulator 1;PIGMENT DEFECTIVE 338;RbcL mRNA S1 binding domain protein
AT5G46240,5.03641877947003,-2.134883404819537,15.00816641237271,1.0704693763022186e-4,0.0011648475717978646,AtKAT1;KAT1,NA;potassium channel in Arabidopsis thaliana 1
AT5G21080,1.2737900764118026,1.7824582461543894,15.008135928578158,1.0704866679697061e-4,0.0011648475717978646,NA,NA
AT3G52470,0.5808283274506058,6.85895807873772,15.007376624200408,1.0709174674991065e-4,0.0011649390981840395,NA,NA
AT3G29185,-0.7342405561726403,2.7966344452522094,15.004715803331383,1.0724284904745222e-4,0.0011660945329239048,BFA1,BIOGENESIS FACTOR REQUIRED FOR ATP SYNTHASE 1
AT1G48640,0.7125421819003489,3.4433580813540865,15.004284341853761,1.0726737102755162e-4,0.0011660945329239048,NA,NA
AT5G39890,-1.4867438288575376,1.882246624924663,14.992096930150673,1.0796237480975893e-4,0.0011732702840742302,PCO2,plant cysteine oxidase 2
AT4G39955,0.5645743793165795,4.589377214118947,14.987669444114559,1.0821597902459659e-4,0.0011756460805640138,NA,NA
AT3G13580,-0.5038857608175474,7.267232394407961,14.98021429807386,1.0864436163593157e-4,0.0011799185002231974,NA,NA
