"","genes","logFC","logCPM","LR","PValue","FDR","AGI","At_symbol","At_short_description","perc_ID"
"6359","BraA03g012750.3C",0.772427957555157,2.79269523667103,2.57250077554869,0.108735714336644,0.408424967766962,"AT5G56870","BGAL4","beta-galactosidase 4",90.441
"6360","BraA08g020660.3C",0.649154638050583,0.738911764417568,2.57215727922554,0.108759324269353,0.408424967766962,"AT4G35750",NA,"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein",89.655
"6361","BraA09g011810.3C",-0.468908339434773,6.17984957824869,2.57211637884767,0.10876213589785,0.408424967766962,"AT4G29840","MTO2",NA,80.52
"6362","BraA01g035420.3C",-0.165892924303841,8.80900453968574,2.57192051781257,0.108775601146024,0.408424967766962,"AT3G17170","RFC3",NA,84.278
"6363","BraA02g028110.3C",0.269033100028315,2.73830528048677,2.57169129069556,0.108791362604705,0.408424967766962,"AT4G11970",NA,"YTH family protein",83.156
"6364","BraA06g008440.3C",-0.465025150841784,1.28425918844426,2.57117513020496,0.108826862541168,0.408494043429198,"AT1G13330","AHP2","Arabidopsis Hop2 homolog",86.49
"6365","BraA10g014420.3C",-0.246495106098593,3.90853712964556,2.57075740758221,0.108855601540513,0.408510787385706,"AT5G56530",NA,"Protein of Unknown Function (DUF239)",89.881
"6366","BraA07g015700.3C",0.203585310821687,3.0230671267641,2.57021423810022,0.108892983659809,0.408510787385706,"AT1G20575","DPMS1","Nucleotide-diphospho-sugar transferases superfamily protein",86.694
"6367","BraA09g045930.3C",-0.152790748384775,6.05624869958379,2.57010375982698,0.108900588743762,0.408510787385706,"AT3G55040","GSTL2",NA,82.72
"6368","BraA10g031430.3C",0.247858323261011,2.8686133895679,2.57001624443715,0.108906613527018,0.408510787385706,"AT5G04940","SUVH1","SU(VAR)3-9 homolog 1",81.629
"6369","BraA09g001620.3C",-0.200581366916564,6.55955721256873,2.5698537403303,0.108917801696723,0.408510787385706,"AT4G02580",NA,NA,91.667
"6370","BraA07g039180.3C",-0.226528750851791,5.79905939911771,2.56961951739744,0.10893392982447,0.408510787385706,"AT1G75690","LQY1","DnaJ/Hsp40 cysteine-rich domain superfamily protein",86.848
"6371","BraA07g030160.3C",0.230386502331665,5.24122158332821,2.56872698006198,0.108995412235179,0.408677194706317,"AT1G69890",NA,"Protein of unknown function (DUF569)",83.003
"6372","BraA09g055760.3C",-0.757744125729759,0.780113509265068,2.56808167807164,0.109039887594382,0.408766032080721,"AT2G21180",NA,NA,82.5
"6373","BraA04g029780.3C",-0.459162897568646,3.10205249679269,2.56779318834742,0.109059777268503,0.408766032080721,"AT2G42320",NA,"nucleolar protein gar2-related",82.644
"6374","BraA01g028640.3C",0.167824018596611,4.59991090223093,2.56763854380777,0.109070440743575,0.408766032080721,"AT5G09890",NA,"Protein kinase family protein",90.631
"6375","BraA09g007710.3C",0.418081305192496,2.23598106191653,2.5666158873257,0.109140986608802,0.408884951879837,"AT5G63130",NA,"Octicosapeptide/Phox/Bem1p family protein",79.592
"6376","BraA07g036720.3C",-0.292519415092414,2.96708161838106,2.56649230214418,0.109149515274946,0.408884951879837,"AT1G72320","APUM23","pumilio 23",86.812
"6377","BraA07g031180.3C",-0.584165538390987,0.268989169694623,2.56634538366238,0.10915965513496,0.408884951879837,"AT1G67710","ARR11","response regulator 11",82.464
"6378","BraA07g038620.3C",-0.265220508501376,3.64492772805147,2.56618625395587,0.109170638943804,0.408884951879837,"AT1G74910","KJC1","ADP-glucose pyrophosphorylase family protein",92.147
"6379","BraA09g014730.3C",0.16489259131104,6.83813067446665,2.56515094994057,0.109242129691169,0.409042244838833,NA,NA,NA,NA
"6380","BraA09g059440.3C",0.298758774335899,4.04250012182261,2.5650821521171,0.109246882203272,0.409042244838833,"AT1G14330",NA,"Galactose oxidase/kelch repeat superfamily protein",80.885
"6381","BraA10g022320.3C",0.379866877263492,2.80131907044577,2.56425992560549,0.109303698702989,0.409141940092381,"AT5G17760",NA,"P-loop containing nucleoside triphosphate hydrolases superfamily protein",85.055
"6382","BraA02g019320.3C",0.199956639122757,4.930620319308,2.56411687322267,0.109313587051409,0.409141940092381,"AT1G69640","SBH1","sphingoid base hydroxylase 1",85.219
"6383","BraA04g006100.3C",0.148232276676526,4.58600431292208,2.56388181106701,0.109329837615592,0.409141940092381,"AT3G53520","ATUXS1","UDP-glucuronic acid decarboxylase 1",87.489
"6384","BraA01g027750.3C",0.161242521642814,4.33444932817194,2.56343984321578,0.109360399391618,0.409141940092381,"AT1G59750","ARF1","auxin response factor 1",91.654
"6385","BraA09g034800.3C",-0.403858492030267,1.75180126806783,2.56330019788822,0.109370057722889,0.409141940092381,"AT1G30260",NA,NA,79.195
"6386","BraA04g008820.3C",0.137249859502038,8.72065043989963,2.56305345297001,0.109387125706762,0.409141940092381,"AT4G13250","NYC1","NAD(P)-binding Rossmann-fold superfamily protein",87.774
"6387","BraA05g040990.3C",0.647573822937212,0.00671804994509306,2.56296273922885,0.109393401346703,0.409141940092381,"AT3G02100",NA,NA,86.014
"6388","BraAnng001630.3C",0.606331284215533,0.658325060172247,2.56243799139649,0.109429711534305,0.409182486811226,"AT2G07674",NA,"Unknown conserved protein",70.542
"6389","BraA06g038160.3C",0.277074954116729,3.19853525187371,2.56227909054223,0.109440709370862,0.409182486811226,"AT3G26670",NA,"Protein of unknown function (DUF803)",92.197
"6390","BraA01g002030.3C",0.195880047853703,4.74769013046473,2.56185780025056,0.1094698735704,0.409182486811226,"AT4G36780","BEH2",NA,81.019
"6391","BraA01g021520.3C",-0.193924675652077,4.76070991163116,2.56181612183811,0.109472759260321,0.409182486811226,"AT4G15080",NA,NA,85.773
"6392","BraA08g017410.3C",-0.495609744295445,0.396484209211496,2.56083912286257,0.109540427735585,0.409371360723977,"AT4G31600","UTr7","UDP-N-acetylglucosamine (UAA) transporter family",91.461
"6393","BraA04g012510.3C",0.200339401087965,4.04329921606174,2.56058551175639,0.109558000752416,0.409372989515675,"AT2G04620","MTP12","Cation efflux family protein",79.162
"6394","BraA05g022300.3C",-0.318669071065578,5.50769281178631,2.55907563350496,0.10966268618728,0.409671817728584,"AT1G34030",NA,"Ribosomal protein S13/S18 family",91.721
"6395","BraA08g033790.3C",-0.276466263189266,5.19309678270441,2.55869148016424,0.109689338500934,0.409671817728584,"AT1G06950","ATTIC110","translocon at the inner envelope membrane of chloroplasts 110",90.134
"6396","BraA05g017850.3C",-0.261856642019197,3.94370208350852,2.5585246247409,0.1097009170418,0.409671817728584,"AT1G52300",NA,"Zinc-binding ribosomal protein family protein",95.139
"6397","BraA04g006010.3C",0.195951862112513,4.58175335305313,2.55844312387791,0.1097065730915,0.409671817728584,"AT3G53610","ATRAB8","RAB GTPase homolog 8",91.925
"6398","BraA07g028060.3C",-0.931303831818842,0.765088947144344,2.55794302552207,0.109741286260898,0.409680298023548,"AT1G74890","ARR15","response regulator 15",81.911
"6399","BraA03g032550.3C",0.466841248228501,1.48111068320551,2.55770401685147,0.109757880758697,0.409680298023548,"AT3G06130",NA,"Heavy metal transport/detoxification superfamily protein",72.368
"6400","BraA08g001660.3C",-0.893222548975741,0.594542814186502,2.55708991583669,0.10980053076666,0.409680298023548,"AT1G53250",NA,NA,79.475
"6401","BraA07g001140.3C",0.211663364894552,4.55491126083698,2.55704938450974,0.109803346353909,0.409680298023548,"AT2G19710","ISTL5","Regulator of Vps4 activity in the MVB pathway protein",79.068
"6402","BraA02g043740.3C",-0.612805615856206,0.343543236758148,2.55692066531767,0.109812288608609,0.409680298023548,"AT5G62500","ATEB1","end binding protein 1B",88.669
"6403","BraA10g006000.3C",0.225108596798214,3.59244298976505,2.5568977270534,0.109813882237475,0.409680298023548,"AT1G07310",NA,"Calcium-dependent lipid-binding (CaLB domain) family protein",78.306
"6404","BraA05g041880.3C",-0.223809933450698,4.28648768891493,2.55633131092406,0.109853241890977,0.409680298023548,"AT3G03380","DEG7",NA,90.498
"6405","BraA01g006880.3C",0.407514907260247,2.03787484099871,2.5562584701599,0.109858304643521,0.409680298023548,"AT4G30850","HHP2","heptahelical transmembrane  protein2",86.293
"6406","BraA02g042160.3C",0.193417302305428,4.76808380345781,2.55618812110427,0.109863194454908,0.409680298023548,"AT1G59620","CW9","Disease resistance protein (CC-NBS-LRR class) family",73.002
"6407","BraA03g018510.3C",-0.189210215653298,4.76980770149772,2.55579900624172,0.109890245313773,0.409692825271083,"AT2G35620","FEI2","Leucine-rich repeat protein kinase family protein",87.841
"6408","BraA02g000230.3C",0.200736326863843,5.13652525599958,2.55564641920377,0.109900855004065,0.409692825271083,"AT5G01400","ESP4","HEAT repeat-containing protein",84.398
"6409","BraA02g043630.3C",-0.378194099763576,7.51166243453669,2.55508393029834,0.10993997574275,0.409774713768579,"AT5G62350",NA,"Plant invertase/pectin methylesterase inhibitor superfamily protein",84.065
"6410","BraA10g001300.3C",-0.121668017136605,7.52470009571462,2.55454711764902,0.109977324993519,0.409802640645196,"AT1G02560","CLPP5","nuclear encoded CLP protease 5",90.95
"6411","BraA05g030560.3C",0.192539488398035,7.11861539347476,2.55448311911827,0.109981778682868,0.409802640645196,"AT3G16620","ATTOC120",NA,87.413
"6412","BraA06g026760.3C",0.406960800228439,8.0169887099605,2.55385957761831,0.11002518162377,0.409839981399453,"AT5G63140","ATPAP29","purple acid phosphatase 29",83.882
"6413","BraA06g028730.3C",-0.468315546804269,1.47663181114694,2.55331365814732,0.110063196980279,0.409839981399453,"AT4G01710","ARPC5",NA,91.56
"6414","BraA10g005840.3C",0.697169042600299,2.0153559206598,2.55270756714611,0.110105419328657,0.409839981399453,"AT1G07180","ATNDI1","alternative  NAD(P)H dehydrogenase 1",88.003
"6415","BraA01g004590.3C",-0.116156656682179,6.62930292246479,2.55244297705334,0.110123857153655,0.409839981399453,"AT4G33480",NA,NA,82.347
"6416","BraA05g038700.3C",0.190904376301337,4.18953860367858,2.55243069662631,0.110124712991361,0.409839981399453,"AT3G06810","IBR3",NA,89.064
"6417","BraA09g056900.3C",0.237150522298869,2.96252429797551,2.55234109886625,0.110130957388191,0.409839981399453,"AT1G19025",NA,"DNA repair metallo-beta-lactamase family protein",81.47
"6418","BraA07g015870.3C",-0.13703799365087,8.06856173580542,2.55198191178799,0.110155994363752,0.409839981399453,"AT1G20260","AtVAB3","ATPase, V1 complex, subunit B protein",92.985
"6419","BraA02g010640.3C",0.231776656235242,3.7322846438869,2.55188951343985,0.110162435961615,0.409839981399453,"AT5G59840","AtRabE1b","Ras-related small GTP-binding family protein",90.237
"6420","BraA04g001230.3C",0.452013275734158,1.37287892089529,2.5518027530121,0.110168484886076,0.409839981399453,"AT3G61380","TRM14","Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related",78.555
"6421","BraA05g031840.3C",0.201317211700537,4.64986611558007,2.5516406497385,0.110179787681592,0.409839981399453,"AT3G15350",NA,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",85.748
"6422","BraA09g048550.3C",0.682485883924351,0.481595109107994,2.55156460943108,0.110185090099316,0.409839981399453,NA,NA,NA,NA
"6423","BraA09g000320.3C",0.174733117413206,4.93271121375512,2.55138406531993,0.11019768086607,0.409839981399453,"AT4G01290","CBE1",NA,82.393
"6424","BraA03g056170.3C",0.240396920968659,3.08458184060262,2.54942420775773,0.110334459067995,0.410284800469531,"AT4G30780",NA,NA,85.657
"6425","BraA09g025520.3C",0.549851329049623,0.903005853588318,2.54902271023221,0.11036250256356,0.410325207974836,"AT4G04860","DER2.2","DERLIN-2.2",91.429
"6426","BraA01g042690.3C",0.296767307440858,3.66900945427634,2.54865226500851,0.11038838409472,0.410348321790069,"AT3G05380","ALY2","DIRP ;Myb-like DNA-binding domain",82.629
"6427","BraA09g060820.3C",0.547428525649612,0.463149532603219,2.54821813167786,0.110418723756035,0.410348321790069,"AT1G12210","RFL1","RPS5-like 1",76.834
"6428","BraA06g010100.3C",0.175863623113961,6.76970062799199,2.54819624777013,0.110420253368493,0.410348321790069,"AT1G13990",NA,NA,90.169
"6429","BraA01g042590.3C",0.151909772712931,4.90768593766418,2.54782370033218,0.110446296772651,0.410381262607729,"AT3G05530","ATS6A.2",NA,91.909
"6430","BraA06g032360.3C",0.395013762088567,2.06174246738756,2.54736176925838,0.110478598036231,0.410437441662439,"AT5G25050",NA,"Major facilitator superfamily protein",86.59
"6431","BraA09g011980.3C",-0.83752624792917,0.862734115312326,2.54655951069107,0.110534721936397,0.410582092616489,"AT2G19740",NA,"Ribosomal protein L31e family protein",89.444
"6432","BraA04g021150.3C",-0.348396475346529,2.55483237793664,2.54540143468527,0.110615793205889,0.41081935138406,"AT2G29500",NA,"HSP20-like chaperones superfamily protein",84.813
"6433","BraA07g011460.3C",-0.513643538132658,1.00270314334019,2.5447019455991,0.110664792718174,0.410937442632015,"AT1G29040",NA,NA,82.333
"6434","BraA05g039620.3C",0.255213769378229,3.08752687615722,2.54389478297703,0.110721364482778,0.411083611247217,"AT3G05710","ATSYP43","syntaxin of plants 43",83.635
"6435","BraA05g033890.3C",0.211078731084086,5.63119076163941,2.54354300973783,0.110746029235555,0.411111289258575,"AT3G13300","VCS","Transducin/WD40 repeat-like superfamily protein",80.209
"6436","BraA02g026610.3C",-0.19914871330943,6.57671623267449,2.54295436942415,0.110787315559949,0.411200651661913,"AT4G01150","CURT1A",NA,87.451
"6437","BraA03g056210.3C",-0.360910755134725,2.75727550285296,2.54262464185516,0.110810449542138,0.411222622131832,"AT4G30845",NA,NA,79.467
"6438","BraA07g037630.3C",-0.37950927206035,2.13660694438397,2.54216858700169,0.110842455519147,0.411262643966699,"AT1G73590","ATPIN1","Auxin efflux carrier family protein",84.42
"6439","BraA09g063990.3C",0.185287417512693,4.84090445239438,2.54149919740697,0.110889451771578,0.411262643966699,"AT1G06400","ARA-2","Ras-related small GTP-binding family protein",84.821
"6440","BraA06g020340.3C",-0.288532012495278,3.6705967777355,2.54104492958729,0.110921357322066,0.411262643966699,"AT3G46520","ACT12",NA,91.692
"6441","BraA06g002390.3C",0.200008650769325,3.63125690808734,2.54102420933091,0.110922812852391,0.411262643966699,"AT1G15890",NA,"Disease resistance protein (CC-NBS-LRR class) family",75.489
"6442","BraA09g057260.3C",0.45068603407225,1.48953443200057,2.54076328486077,0.110941143742663,0.411262643966699,"AT1G18390","LRK10L1.1","Protein kinase superfamily protein",87.318
"6443","BraA09g000310.3C",0.218490126655975,3.95887630368252,2.54075687548847,0.11094159406625,0.411262643966699,"AT4G01280","RVE5","Homeodomain-like superfamily protein",81.468
"6444","BraA09g037350.3C",-0.132850657242805,5.04726809858315,2.54075468369228,0.110941748062684,0.411262643966699,"AT1G24490","ALB4","OxaA/YidC-like membrane insertion protein",87.271
"6445","BraA04g030980.3C",-0.56172026082408,1.43362164332898,2.54032934507021,0.110971636967898,0.411274158779088,"AT2G44740","CYCP4;1","cyclin p4;1",88.797
"6446","BraA03g043680.3C",0.15137652806505,4.60526354846203,2.54022048868737,0.110979287821919,0.411274158779088,"AT5G23080","TGH","SWAP (Suppressor-of-White-APricot)/surp domain-containing protein",86.125
"6447","BraA07g038360.3C",0.741301028872449,-0.0806697870034267,2.53933928224507,0.111041243840711,0.411439930644782,"AT1G74440",NA,"Protein of unknown function (DUF962)",86.2
"6448","BraA01g022230.3C",-0.169310719014326,6.54378925649437,2.53782243028958,0.11114798009448,0.411771549084514,"AT3G51820","ATG4",NA,90.967
"6449","BraA05g026820.3C",0.362418433171244,1.6852437619287,2.53691656949876,0.111211776600266,0.411915184252856,"AT3G20420","ATRTL2",NA,77.964
"6450","BraA07g030910.3C",0.272029962697144,3.11908044857508,2.53657268909045,0.111236005407169,0.411915184252856,"AT1G68160",NA,"Protein of unknown function (DUF3755)",79.331
"6451","BraA06g032940.3C",-0.450548076219154,1.43903339519954,2.53639341558599,0.111248638796939,0.411915184252856,"AT5G11530","EMF1","embryonic flower 1 (EMF1)",76.446
"6452","BraA06g006950.3C",-0.581861225129972,1.2215068410796,2.53619971916939,0.111262290342842,0.411915184252856,"AT1G10060","ATBCAT-1","branched-chain amino acid transaminase 1",89.349
"6453","BraA03g052980.3C",0.395299707591887,1.50544623086372,2.53604822182818,0.11127296902142,0.411915184252856,"AT4G26200","ACCS7",NA,87.389
"6454","BraA02g008300.3C",0.216889822986627,6.11873954333936,2.53520690096047,0.111332292208252,0.412041250325065,"AT5G19590",NA,"Protein of unknown function, DUF538",82.456
"6455","BraA09g063830.3C",0.535029956723184,2.14896981591168,2.53497960239285,0.111348325448139,0.412041250325065,"AT1G06650",NA,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein",83.423
"6456","BraA09g004080.3C",0.171299570298546,7.39763292137669,2.53483154389224,0.111358770600244,0.412041250325065,"AT5G48160","OBE2","Protein of unknown function (DUF1423)",77.088
"6457","BraA08g029150.3C",0.622879768054874,1.73479549423973,2.53427038685066,0.11139836859762,0.412123932021053,"AT1G17710","AtPEPC1","Pyridoxal phosphate phosphatase-related protein",87.284
"6458","BraA04g003720.3C",0.264443843252675,3.88834122360818,2.53375511552855,0.11143474232146,0.412194661594152,"AT3G56880",NA,NA,75.497
"6459","BraA03g029790.3C",-0.516545124837173,1.38016249484653,2.53323367654022,0.111471564737201,0.412267028710676,"AT4G01070","GT72B1","UDP-Glycosyltransferase superfamily protein",82.165
"6460","BraA07g004050.3C",0.5305307627165,1.71606815618135,2.53241667881181,0.111529285533674,0.412392646727687,"AT1G57590","AtPAE2","Pectinacetylesterase family protein",78.264
"6461","BraA02g027670.3C",0.430549805987526,2.3152396543288,2.53226426245958,0.11154005737222,0.412392646727687,"AT4G04540","CRK39","cysteine-rich RLK (RECEPTOR-like protein kinase) 39",83.697
"6462","BraA10g030510.3C",0.184114463468951,5.86929494050096,2.53166211725739,0.111582624444924,0.412486185815588,"AT5G08190","NF-YB12","nuclear factor Y, subunit B12",84.813
"6463","BraA08g023080.3C",-0.150019855645326,6.41434243309884,2.5305910371984,0.111658385833619,0.412702386011681,"AT3G46100","ATHRS1",NA,89.538
"6464","BraA06g039700.3C",-0.278426273196101,6.75345551866071,2.5289787348696,0.111772536636032,0.413005216361999,"AT2G02710","PLP","PAS/LOV protein B",81.442
"6465","BraA01g037010.3C",-0.340208872174643,5.3189898817859,2.52894542477745,0.111774896340436,0.413005216361999,"AT3G14920",NA,NA,81.566
"6466","BraA09g055850.3C",0.160815042826369,4.94791517059431,2.52850992993204,0.111805752069858,0.413055336443671,"AT2G21060","ATCSP4","glycine-rich protein 2B",76.37
"6467","BraA08g004410.3C",0.249696266626915,5.22669787889626,2.52817271290176,0.111829651050256,0.413079743975337,"AT1G48410","AGO1","Stabilizer of iron transporter SufD / Polynucleotidyl transferase",86.478
"6468","BraA05g010640.3C",-0.180967469492165,7.1760183596105,2.52692155961194,0.11191837095876,0.413343544443857,"AT2G34480","L18aB","Ribosomal protein L18ae/LX family protein",91.62
"6469","BraA07g017520.3C",-0.190931743844007,5.30330298480608,2.52651681536526,0.11194708816335,0.413385692076998,"AT5G66470","AtERG1","RNA binding;GTP binding",86.768
"6470","BraA10g003090.3C",0.494591831099085,0.528412666836598,2.52534901733025,0.112029990648618,0.413627885102655,"AT1G04550","BDL","AUX/IAA transcriptional regulator family protein",89.685
"6471","BraA07g035110.3C",0.178940831092122,4.80976806213831,2.52351408029148,0.112160390207446,0.413859591146998,"AT1G70300","KUP6","K+ uptake permease 6",84.117
"6472","BraA03g042990.3C",0.208148251517878,4.3713614057586,2.5234251915209,0.112166711318998,0.413859591146998,"AT2G15970","ATCOR413-PM1","cold regulated 413 plasma membrane 1",79.747
"6473","BraA05g004070.3C",-0.238254929669127,4.85917373729466,2.52332334007764,0.112173954722169,0.413859591146998,"AT2G44120",NA,"Ribosomal protein L30/L7 family protein",90.535
"6474","BraA08g024580.3C",0.616000243919786,0.757159023008575,2.52320869679901,0.112182108462756,0.413859591146998,"AT1G28060","RDM16","Pre-mRNA-splicing factor 3",85.99
"6475","BraA01g001140.3C",0.2348189162988,3.37235587273825,2.52299137005222,0.112197567121131,0.413859591146998,"AT4G37880",NA,"LisH/CRA/RING-U-box domains-containing protein",78.149
"6476","BraA07g032570.3C",0.260264452232662,3.23989522857375,2.52292097778805,0.112202574692815,0.413859591146998,"AT1G67190",NA,"F-box/RNI-like superfamily protein",83.704
"6477","BraA10g015040.3C",-0.309009204804044,2.5411782024209,2.52261906968934,0.112224054651848,0.413859591146998,"AT5G57140","ATPAP28","purple acid phosphatase 28",84.764
"6478","BraA09g001890.3C",-0.147530347659859,7.5274613776182,2.52251657931413,0.112231347599224,0.413859591146998,"AT4G02260","AT-RSH1","RELA/SPOT homolog 1",91.622
"6479","BraA06g040340.3C",0.119109930339713,5.7773777598938,2.51987082797312,0.112419793111268,0.414433807690334,"AT2G01650","PUX2",NA,80.573
"6480","BraA03g050750.3C",-0.113977303921678,6.00875651474858,2.51983034007384,0.112422679596321,0.414433807690334,"AT4G23100","ATECS1","glutamate-cysteine ligase",88.763
"6481","BraA06g011390.3C",0.219082207621882,4.5322648241825,2.51946568182749,0.112448680686349,0.414433807690334,"AT1G15330",NA,"Cystathionine beta-synthase (CBS) protein",80.618
"6482","BraA07g034800.3C",0.391016792692931,4.25278093066927,2.51935658245242,0.112456461045242,0.414433807690334,"AT1G69920","ATGSTU12","glutathione S-transferase TAU 12",80
"6483","BraA07g036860.3C",0.414828120936081,4.7870539192176,2.51904156022673,0.112478930001092,0.414452673124493,"AT1G72450","JAZ6","jasmonate-zim-domain protein 6",79.543
"6484","BraA09g052530.3C",0.28241570130781,2.89654869229837,2.51822119756712,0.112537465563759,0.414517060515792,"AT3G63420","AGG1","Ggamma-subunit 1",87.243
"6485","BraA03g009330.3C",0.226632139779589,4.24387444662879,2.5177578332289,0.112570542954192,0.414517060515792,"AT5G19980","GFT1","golgi nucleotide sugar transporter 4",80.365
"6486","BraA03g003990.3C",-0.470606385342989,1.14087542448153,2.51761357062639,0.112580843365528,0.414517060515792,"AT5G09770",NA,"Ribosomal protein L17 family protein",88.602
"6487","BraA03g043980.3C",-0.568618846601441,0.708564305233943,2.51661269722362,0.11265233474621,0.414517060515792,"AT5G61000","ATRPA70D","Replication factor-A protein 1-related",84.194
"6488","BraA06g030340.3C",-0.885455779614911,0.632255259456729,2.51656453594371,0.112655776118816,0.414517060515792,"AT2G17620","CYCB2;1","Cyclin B2;1",81.274
"6489","BraA01g028630.3C",0.394455031229943,1.67356307974738,2.51654208981284,0.11265738005055,0.414517060515792,"AT1G60960","ATIRT3","iron regulated transporter 3",83.502
"6490","BraA02g041950.3C",0.269961271065142,3.10437002608155,2.51638348053585,0.112668714500384,0.414517060515792,"AT5G24800","ATBZIP9","basic leucine zipper 9",84.793
"6491","BraA01g022090.3C",0.470978547310791,1.59631878373703,2.51622540123821,0.112680012326987,0.414517060515792,"AT4G13820",NA,NA,78.657
"6492","BraA07g033260.3C",-0.150189501408689,7.65356034119687,2.51619454860319,0.112682217490682,0.414517060515792,"AT1G68010","ATHPR1","hydroxypyruvate reductase",91.838
"6493","BraA01g005830.3C",-0.257549480419014,5.07330352562022,2.5158134216963,0.112709462106718,0.414517060515792,"AT4G32190","PII1",NA,78.365
"6494","BraA03g044220.3C",-0.360851628769781,2.26038295148999,2.51569150851127,0.112718178525408,0.414517060515792,"AT5G61220",NA,"LYR family of Fe/S cluster biogenesis protein",85.259
"6495","BraA09g000580.3C",-0.307333716217309,2.51613061950549,2.51561645292208,0.112723545139056,0.414517060515792,"AT4G00440","TRM15","Protein of unknown function (DUF3741)",82.16
"6496","BraA01g035580.3C",0.170356839155005,5.81643388607358,2.51533223560032,0.112743869755084,0.414517060515792,"AT3G17020",NA,NA,89.228
"6497","BraA02g044430.3C",0.201326327300808,5.62511547222342,2.51493179222891,0.112772512643199,0.414517060515792,"AT5G64070","PI-4KBETA1","phosphatidylinositol 4-OH kinase beta1",89.63
"6498","BraA10g030380.3C",0.162557721242172,4.16417554523822,2.51449002149858,0.112804120892209,0.414517060515792,"AT5G08010",NA,NA,74.529
"6499","BraA01g015310.3C",0.142027920446074,5.67896270798191,2.51441044517197,0.112809815535173,0.414517060515792,"AT4G24520","AR1","P450 reductase 1",90.038
"6500","BraA10g007380.3C",0.14565055920462,5.61912115578946,2.51440814288172,0.112809980296437,0.414517060515792,"AT1G44820",NA,"Peptidase M20/M25/M40 family protein",84.434
"6501","BraA07g019480.3C",0.156350860044533,5.62012123620409,2.51426726380518,0.112820062681113,0.414517060515792,"AT5G38280","PR5K","PR5-like receptor kinase",83.817
"6502","BraA02g034560.3C",-0.222046092511978,4.73740246105427,2.5141828825982,0.112826102121303,0.414517060515792,"AT2G01290","RPI2","ribose-5-phosphate isomerase 2",85.088
"6503","BraA07g037040.3C",-0.132871893410677,5.74493771087453,2.51389774075882,0.112846513294955,0.41452459066263,"AT1G72710","CKL2","casein kinase 1-like protein 2",92.203
"6504","BraA03g041970.3C",0.197236513226321,3.39660130456996,2.51339022799516,0.112882852405905,0.41452459066263,"AT2G05230",NA,"DNAJ heat shock N-terminal domain-containing protein",80.828
"6505","BraA05g031070.3C",-0.198137289366482,6.88141554760438,2.51324681620744,0.11289312336423,0.41452459066263,"AT3G16080",NA,NA,89.86
"6506","BraA10g027880.3C",0.444449977659742,1.56042511201049,2.51294769402828,0.112914549403655,0.41452459066263,"AT5G09960",NA,NA,88.162
"6507","BraA02g000180.3C",-0.296241443452291,7.52553509394456,2.51294257778546,0.112914915917688,0.41452459066263,"AT2G04660","APC2","anaphase-promoting complex/cyclosome 2",84.104
"6508","BraA09g001390.3C",0.167448241598222,5.60250526401857,2.51259817415501,0.112939591092147,0.414551467733436,"AT4G02940","ALKBH10B","oxidoreductase, 2OG-Fe(II) oxygenase family protein",81.261
"6509","BraA10g024970.3C",0.174691177102696,3.96834366035124,2.51134503851334,0.11302942351179,0.414728108405667,"AT5G13970",NA,NA,75.735
"6510","BraA08g004350.3C",0.164011627087005,4.00687197415083,2.51117636614803,0.11304152098776,0.414728108405667,"AT1G48490",NA,"Protein kinase superfamily protein",83.786
"6511","BraA02g002190.3C",0.26419408347543,2.47450067202506,2.51111387776126,0.113046003125907,0.414728108405667,"AT5G06960","OBF5","OCS-element binding factor 5",87.815
"6512","BraA04g005040.3C",0.169346099511579,4.53955208596972,2.51095834216641,0.113057160161491,0.414728108405667,"AT3G55050",NA,"Protein phosphatase 2C family protein",83.55
"6513","BraA02g015790.3C",-0.395270786279075,3.31129360980282,2.51067908838078,0.113077194919482,0.414737913747363,"AT5G51550","EXL3","EXORDIUM like 3",89.941
"6514","BraA09g053420.3C",0.416526126421767,4.11894857863073,2.51006436110681,0.113121311642,0.41482287058317,"AT3G63520","ATCCD1",NA,89.5
"6515","BraA05g018200.3C",0.699385079786744,0.875185704630176,2.50965425056733,0.113150754318418,0.41482287058317,"AT1G51660","ATMEK4","mitogen-activated protein kinase kinase 4",76.57
"6516","BraA05g027220.3C",-0.223196710256305,4.3008031045523,2.50963057701049,0.113152454149361,0.41482287058317,"AT3G20050","ATTCP-1",NA,92.674
"6517","BraA10g017490.3C",0.499200398056722,1.19192497694411,2.50926928009348,0.113178399821586,0.414854321764318,"AT5G59680",NA,"Leucine-rich repeat protein kinase family protein",77.393
"6518","BraA03g029500.3C",0.229997947418908,5.32968225376347,2.50892548002586,0.113203095086706,0.414866962298122,"AT4G01870",NA,"tolB protein-related",83.639
"6519","BraA09g060100.3C",0.260730858832449,3.39723810222389,2.50873774459978,0.113216582686766,0.414866962298122,"AT1G13450","GT-1","Homeodomain-like superfamily protein",81.479
"6520","BraA05g018210.3C",-0.3595320590778,3.35288412265674,2.5080312896528,0.113267352867419,0.414963157759844,"AT1G51650",NA,"ATP synthase epsilon chain, mitochondrial",84.977
